Population,BroodYear,EscapementMethod,Spawners,Spawners.std,CoreRecruits,CoreRecruitsPerSpawner,maxT_spawn,wksGT13_spawn,maxP_spawn,RB_spawn,avgT_grow,wksGT15_grow,avgP_grow,medianQ_grow,RB_emerge,breakup,NPGO,maxT_spawn.std.all,avgT_grow.std.all,wksGT13_spawn.std.all,wksGT15_grow.std.all,maxT_spawn.std,avgT_grow.std,wksGT13_spawn.std,wksGT15_grow.std,maxP_spawn.std,avgP_grow.std,medianQ_grow.std,RB_spawn.std,RB_emerge.std,breakup.std,NPGO.std
Alexander,1982,Aerial survey,5658,-0.17045110768472754,13027,2.302403676210675,15.2890366995219,8,208.64929437,0.1335746,14.3250162497789,7,68.373203255,497,0.07139947,124,0.6207500366666667,0.429060564896469,1.2520219015036995,1.5377924567652645,1.8399125696309357,-1.7874486904790785,-0.6765343725127444,0.11264088922239604,0.028647315633565266,1.0487861501024986,-0.3038296085671852,0.9959699227996092,0.4758843398080965,0.6727573225005217,0.28625236216374694,0.369201084640575
Alexander,1983,Aerial survey,8344,0.5670948854545044,13802,1.6541227229146693,16.7712877956587,6,163.54610241,0.1000277,14.0491838089564,6,76.746223966,497,0.04350167,136,-0.39390104708333334,1.03317878896583,1.1065478356351715,0.905906992482729,1.5027043940580063,-0.8200807318474304,-0.9569819993417968,-1.4643315598911444,-0.37241510323634985,0.06590360503476314,0.30430189613456304,0.9959699227996092,-0.3126440898168563,-0.6727040303127911,1.944541908491662,-0.5545594265273035
Alexander,1984,Aerial survey,10267,1.0951294888821823,12682,1.2352196357261127,16.6542679722794,7,149.69652337,0.1644919,13.686979593735,6,77.140479785,641,0.0805827,126,-0.7328472883333333,0.9854852449603213,0.9155212844947141,1.2218497246239968,1.5027043940580063,-0.8964518864762971,-1.3252465598243257,-0.6758453353343741,-0.37241510323634985,-0.2359045132692429,0.3329366496746928,2.1972115407260295,1.2026033516167456,1.1156481977306751,0.5626339532183995,-0.8631434886645465
Alexander,1985,Aerial survey,13869,2.0841989852662155,11636,0.838993438604081,17.0833406580032,6,194.79135779,0.1490716,13.8875850052423,5,77.188398462,277,0.06017491,117,0.42917472916666666,1.1603615729803947,1.0213206051263857,0.905906992482729,1.1654962184850768,-0.6164243195039856,-1.121284649403168,-1.4643315598911444,-0.773477522106265,0.7467959054382789,0.3364169775220899,-0.8392603268101997,0.8401452722310001,0.13141672638418972,-0.6810832065275368,0.19478673983024888
Alexander,1986,Aerial survey,11611,1.4641770744291396,11889,1.0239428128498838,16.420228325521,5,145.31862156,0.1853568,14.1299832108135,3,60.524848012,398,0.03239102,117,1.3236367633333335,0.8900981569493865,1.1491614508895907,0.5899642603414612,0.49107986733921766,-1.0491941957338986,-0.8748306743110607,-2.2528177844479145,-1.5756023598460953,-0.3313071463442046,-0.8738547223339739,0.17011631047519515,1.693038140860511,-1.2085509494116171,-0.6810832065275368,1.009124514790577
Alexander,1987,Aerial survey,4782,-0.4109910518358694,11619,2.4297365119196987,18.2145322840023,8,131.565051,0.1128271,15.0912174742856,7,74.932261401,339,0.03507498,122,0.6122406166666666,1.621399165033313,1.6561165289161488,1.5377924567652645,1.8399125696309357,0.12183017524119537,0.10248681312326488,0.11264088922239604,0.028647315633565266,-0.6310230610796873,0.17255400941587082,-0.32205907464743544,-0.011790932531335872,-1.0791083248140927,0.009870771109094453,0.3614539227887486
Alexander,1988,Aerial survey,13940,2.103694802657461,9511,0.6822812051649928,18.3315521073815,8,145.47856365,0.08222212,15.1469411997043,8,99.758856559,364,0.04572295,123,-0.20154612108333333,1.6690927090387813,1.6855052290916157,1.5377924567652645,2.1771207452038652,0.19820132986999728,0.15914289935136944,0.11264088922239604,0.4297097345034804,-0.3278217103550603,1.9757066816911226,-0.11351018264632076,-0.731168783185289,-0.5655756404835875,0.1480615666364207,-0.3794353000042193
Alexander,1989,Aerial survey,7771,0.40975540143783273,6930,0.8917771200617681,18.0975124606231,8,168.69765597,0.06941555,16.002300384881,9,67.412000178,409,0.06522832,124,-0.4989147111666667,1.5737056210278464,2.136621776784855,1.5377924567652645,2.5143289207767947,0.04545902061239578,1.0288138229524284,0.11264088922239604,0.8307721533733955,0.17816555045530072,-0.3736416744530408,0.26187782295568557,-1.032190473147164,0.3751337167891798,0.28625236216374694,-0.6501661602773002
Alexander,1990,Aerial survey,5769,-0.1399717311998226,5818,1.0084936730802565,19.657776772346,8,236.84175577,0.1907375,14.6203519944978,5,66.784487105,320,0.04706177,96,-1.09491887,2.209619541100838,1.4077820124335654,1.5377924567652645,1.1654962184850768,1.0637410823298883,-0.376257115504001,0.11264088922239604,-0.773477522106265,1.6631523846947318,-0.41921787478444233,-0.48055623256828256,1.819512864941812,-0.5010067293732662,-3.583089912601388,-1.1927813658780813
Alexander,1991,Aerial survey,6060,-0.0600663387934501,8376,1.382178217821782,16.6932745800725,8,125.0894917,0.05548937,14.6064210631432,6,63.817746575,279,0.04327197,124,-1.9019925883333333,1.001383092962158,1.4004348373897377,1.5377924567652645,1.5027043940580063,-0.8709948349333407,-0.3904211370609517,0.11264088922239604,-0.37241510323634985,-0.7721375571704658,-0.6346918888637753,-0.8225764154501105,-1.359528881348054,-0.6837820534092796,0.28625236216374694,-1.9275589091517198
