year,ASON_avg,siteID,ASON_max
1980,55.580445,EF_chulitna,109.677792
1981,72.34937956,EF_chulitna,158.8344031
1982,77.19127095,EF_chulitna,128.1463415
1983,70.48630743,EF_chulitna,166.5404365
1984,53.13714175,EF_chulitna,128.4762516
1985,77.04471545,EF_chulitna,162.2439024
1986,81.06696601,EF_chulitna,157.5301669
1987,68.43025256,EF_chulitna,79.45186136
1988,56.56824987,EF_chulitna,84.12323492
1989,77.78155726,EF_chulitna,123.6161746
1990,87.90222502,EF_chulitna,130.9358152
1991,49.71095416,EF_chulitna,74.90757381
1992,95.40885764,EF_chulitna,129.279846
1993,126.7796318,EF_chulitna,191.2785623
1994,79.93795463,EF_chulitna,109.6829268
1995,41.37312789,EF_chulitna,84.62772786
1996,66.63735561,EF_chulitna,123.8896021
1997,60.94886599,EF_chulitna,134.703466
1998,45.56718013,EF_chulitna,132.6713736
1999,50.07980322,EF_chulitna,108.7984596
2000,97.6345744,EF_chulitna,131.071887
2001,60.5374411,EF_chulitna,76.17971759
2002,78.02866922,EF_chulitna,138.6341463
2003,74.62986764,EF_chulitna,95.84595635
2004,100.7809159,EF_chulitna,131.1578947
2005,67.51647424,EF_chulitna,139.0320924
2006,57.63949517,EF_chulitna,176.8806162
2007,71.20774514,EF_chulitna,122.7766367
2008,55.06161751,EF_chulitna,86.1720154
2009,53.42190838,EF_chulitna,113.6097561
1980,57.53158507,alexander,73.76993007
1981,78.33076953,alexander,129.1440559
1982,75.94627013,alexander,176.0293706
1983,63.29510497,alexander,97.4993007
1984,46.08508155,alexander,123.2111888
1985,66.21317017,alexander,173.241958
1986,104.2615382,alexander,127.0181818
1987,76.6036132,alexander,127.7391608
1988,60.68333331,alexander,96.2979021
1989,95.024592,alexander,143.265035
1990,79.17249432,alexander,135.6174825
1991,52.10011659,alexander,91.18321678
1992,93.9476689,alexander,120.9146853
1993,128.4213284,alexander,209.5713287
1994,69.58310036,alexander,84.18741259
1995,40.34195826,alexander,107.2300699
1996,56.42400937,alexander,91.32307692
1997,75.22319346,alexander,110.8342657
1998,43.53682981,alexander,87.05034965
1999,64.43939396,alexander,98.33846154
2000,86.31212145,alexander,111.8958042
2001,57.05582762,alexander,61.13916084
2002,78.18193446,alexander,137.3874126
2003,66.3089744,alexander,78.94475525
2004,107.1547784,alexander,149.2153846
2005,76.33717949,alexander,195.227972
2006,62.12027964,alexander,165.413986
2007,83.70571089,alexander,147.5405594
2008,59.86328679,alexander,96.19090909
2009,56.83578097,alexander,68.09020979
1980,94.54268707,anchor,97.4877551
1981,112.0608845,anchor,140.1214286
1982,72.93673471,anchor,196.5040816
1983,98.14982977,anchor,127.8765306
1984,61.18809522,anchor,139.2826531
1985,51.65221084,anchor,122.6510204
1986,104.3743197,anchor,156.2112245
